resp_fMRI.keys, resp_fMRI.rt, respTaskInstructions.keys, respTaskInstructions.rt, respHowWhyTaskInstructions.keys, respHowWhyTaskInstructions.rt, construal_resp.keys, construal_resp.rt, resp_trial.keys, resp_trial.rt, instructionLoop.thisRepN, instructionLoop.thisTrialN, instructionLoop.thisN, instructionLoop.thisIndex, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrial, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrial, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, designDir, k_val, date, expName, frameRate
, , , , , , 2, 1.7989999999999782, , , , , , , 0, -1, -1, 0, 2005, 11, 1, 3.367999999999995, 0.03162277660168379, , , 1.24199468492, 126.445, 129.813, , 6.022354960966543, 20, 1, 1, 5, 90, 0, 1, 3, 4.35129443564, 0, Why consume medicine?,  Reduce pain., 2, 121.64300000000003, 125.19400000000002, 0, 10, 10, 10, 2005, 11, 1, 3.367999999999995, 0.03162277660168379, , , 1.24199468492, 126.445, 129.813, , 6.022354960966543, 20, 1, 1, 5, 90, 0, 1, 3, 4.35129443564, 0, Why consume medicine?,  Reduce pain., 2, 121.64300000000003, 125.19400000000002, 0, 10, 10, 10, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 1, 1.0330000000000155, , , , , , , 0, -1, -1, 0, 2005, 12, 1, 1.8500000000000227, 0.042169650342858224, , , 4.64642385223, 142.904, 144.75400000000002, , 9.342831381628532, 37, 1, 1, 5, 90, 0, 1, 3, 5.63035338668, 0, Why read articles?,  Gain knowledge., 2, 135.466, 138.25100000000003, 0, 11, 11, 11, 2005, 12, 1, 1.8500000000000227, 0.042169650342858224, , , 4.64642385223, 142.904, 144.75400000000002, , 9.342831381628532, 37, 1, 1, 5, 90, 0, 1, 3, 5.63035338668, 0, Why read articles?,  Gain knowledge., 2, 135.466, 138.25100000000003, 0, 11, 11, 11, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 2, 1.1990000000000123, , , , , , , 0, -1, -1, 0, 2005, 1, 1, 1.5330000000000155, 0.056234132519034905, , , 4.38723556909, 167.517, 169.05, , 25, 30, 1, 1, 4, 8.356558820077845, 1, 1, 4, 0.536280245387, 0, Why satisfy hunger?,  Show an ability., 3, 160.163, 163.11400000000003, 0, 0, 0, 0, 2005, 1, 1, 1.5330000000000155, 0.056234132519034905, , , 4.38723556909, 167.517, 169.05, , 25, 30, 1, 1, 4, 8.356558820077845, 1, 1, 4, 0.536280245387, 0, Why satisfy hunger?,  Show an ability., 3, 160.163, 163.11400000000003, 0, 0, 0, 0, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 1, 1.149000000000001, , , , , , , 0, -1, -1, 0, 2005, 2, 1, 2.201999999999998, 0.07498942093324558, , , 5.93958499425, 184.858, 187.06, , 25, 30, 1, 2, 1, 3.867042864326648, 1, 1, 4, 5.25730692899, 0, Why contact a friend?,  Feel connected., 3, 176.00400000000002, 178.904, 0, 1, 1, 1, 2005, 2, 1, 2.201999999999998, 0.07498942093324558, , , 5.93958499425, 184.858, 187.06, , 25, 30, 1, 2, 1, 3.867042864326648, 1, 1, 4, 5.25730692899, 0, Why contact a friend?,  Feel connected., 3, 176.00400000000002, 178.904, 0, 1, 1, 1, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 2, 1.6669999999999732, , , , , , , 0, -1, -1, 0, 2005, 3, 2, 2.850999999999999, 0.05623413251903491, , , 0.77990807603, 193.046, 195.897, , 25, 30, 1, 2, 7, 11.956558820077843, 1, 1, 4, 1.99130821095, 1, How to make a list?,  Throw away trash., 4, 188.84300000000002, 192.262, 0, 2, 2, 2, 2005, 3, 2, 2.850999999999999, 0.05623413251903491, , , 0.77990807603, 193.046, 195.897, , 25, 30, 1, 2, 7, 11.956558820077843, 1, 1, 4, 1.99130821095, 1, How to make a list?,  Throw away trash., 4, 188.84300000000002, 192.262, 0, 2, 2, 2, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 1, 1.483000000000004, , , , , , , 0, -1, -1, 0, 2005, 4, 1, 2.785000000000025, 0.04216965034285823, , , 0.956484896051, 202.067, 204.85200000000003, , 25, 30, 1, 2, 9, 15.54274741132331, 1, 1, 4, 2.92260647341, 0, How to prepare meals?,  Follow recipes., 4, 197.86400000000003, 201.099, 0, 3, 3, 3, 2005, 4, 1, 2.785000000000025, 0.04216965034285823, , , 0.956484896051, 202.067, 204.85200000000003, , 25, 30, 1, 2, 9, 15.54274741132331, 1, 1, 4, 2.92260647341, 0, How to prepare meals?,  Follow recipes., 4, 197.86400000000003, 201.099, 0, 3, 3, 3, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 1, 1.8500000000000227, , , , , , , 0, -1, -1, 0, 2005, 5, 1, 3.0190000000000055, 0.0316227766016838, , , 1.08930121108, 211.65500000000003, 214.675, , 25, 30, 1, 1, 2, 8.724555320336751, 1, 1, 4, 0.531978377585, 0, How to show an ability?,  Satisfy hunger., 6, 206.95300000000003, 210.55400000000003, 0, 4, 4, 4, 2005, 5, 1, 3.0190000000000055, 0.0316227766016838, , , 1.08930121108, 211.65500000000003, 214.675, , 25, 30, 1, 1, 2, 8.724555320336751, 1, 1, 4, 0.531978377585, 0, How to show an ability?,  Satisfy hunger., 6, 206.95300000000003, 210.55400000000003, 0, 4, 4, 4, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 1, 1.6689999999999827, , , , , , , 0, -1, -1, 0, 2005, 6, 1, 2.1510000000000105, 0.04216965034285823, , , 1.24834546156, 221.61, 223.76100000000002, , 25, 30, 1, 1, 5, 10.742747411323306, 1, 1, 4, 2.11678848024, 0, How to impress others?,  Show intelligence., 6, 216.94100000000003, 220.361, 0, 5, 5, 5, 2005, 6, 1, 2.1510000000000105, 0.04216965034285823, , , 1.24834546156, 221.61, 223.76100000000002, , 25, 30, 1, 1, 5, 10.742747411323306, 1, 1, 4, 2.11678848024, 0, How to impress others?,  Show intelligence., 6, 216.94100000000003, 220.361, 0, 5, 5, 5, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 1, 1.25, , , , , , , 0, -1, -1, 0, 2005, 7, 2, 2.8700000000000045, 0.05623413251903491, , , 0.563909299023, 228.89600000000002, 231.76600000000002, , 25, 30, 1, 2, 3, 7.156558820077843, 1, 1, 4, 0.581648183598, 0, How to teach others?,  Give a lecture., 5, 225.32800000000003, 228.32999999999998, 0, 6, 6, 6, 2005, 7, 2, 2.8700000000000045, 0.05623413251903491, , , 0.563909299023, 228.89600000000002, 231.76600000000002, , 25, 30, 1, 2, 3, 7.156558820077843, 1, 1, 4, 0.581648183598, 0, How to teach others?,  Give a lecture., 5, 225.32800000000003, 228.32999999999998, 0, 6, 6, 6, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 1, 1.33299999999997, , , , , , , 0, -1, -1, 0, 2005, 8, 2, 3.3010000000000446, 0.04216965034285823, , , 0.594754422184, 237.06799999999998, 240.36900000000003, , 25, 30, 1, 1, 8, 14.342747411323312, 1, 1, 4, 1.492160448, 0, How to show intelligence?,  Participate in class., 5, 233.36700000000002, 236.46699999999998, 0, 7, 7, 7, 2005, 8, 2, 3.3010000000000446, 0.04216965034285823, , , 0.594754422184, 237.06799999999998, 240.36900000000003, , 25, 30, 1, 1, 8, 14.342747411323312, 1, 1, 4, 1.492160448, 0, How to show intelligence?,  Participate in class., 5, 233.36700000000002, 236.46699999999998, 0, 7, 7, 7, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 1, 1.599999999999966, , , , , , , 0, -1, -1, 0, 2005, 9, 2, 2.8519999999999754, 0.05623413251903491, , , 2.12377875315, 248.99, 251.84199999999998, , 25, 30, 1, 2, 3, 7.156558820077843, 1, 1, 4, 2.7505309567, 0, Why teach a class?,  Obey laws., 2, 243.50400000000002, 246.856, 0, 8, 8, 8, 2005, 9, 2, 2.8519999999999754, 0.05623413251903491, , , 2.12377875315, 248.99, 251.84199999999998, , 25, 30, 1, 2, 3, 7.156558820077843, 1, 1, 4, 2.7505309567, 0, Why teach a class?,  Obey laws., 2, 243.50400000000002, 246.856, 0, 8, 8, 8, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 1, 1.3500000000000227, , , , , , , 0, -1, -1, 0, 2005, 10, 1, 3.701999999999998, 0.04216965034285823, , , 2.94826984273, 261.84700000000004, 265.54900000000004, , 25, 30, 1, 1, 9, 15.54274741132331, 1, 1, 4, 4.60953465818, 0, Why enter a classroom?,  Attend a school., 2, 255.79300000000006, 258.896, 0, 9, 9, 9, 2005, 10, 1, 3.701999999999998, 0.04216965034285823, , , 2.94826984273, 261.84700000000004, 265.54900000000004, , 25, 30, 1, 1, 9, 15.54274741132331, 1, 1, 4, 4.60953465818, 0, Why enter a classroom?,  Attend a school., 2, 255.79300000000006, 258.896, 0, 9, 9, 9, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 2, 1.086999999999989, , , , , , , 0, -1, -1, 0, 2005, 11, 2, 2.8190000000000737, 0.05623413251903491, , , 1.71697886275, 272.835, 275.65400000000005, , 25, 30, 1, 2, 1, 4.756558820077847, 1, 1, 4, 1.10405379223, 0, Why use a comb?,  Write a song., 1, 268.267, 271.10600000000005, 0, 10, 10, 10, 2005, 11, 2, 2.8190000000000737, 0.05623413251903491, , , 1.71697886275, 272.835, 275.65400000000005, , 25, 30, 1, 2, 1, 4.756558820077847, 1, 1, 4, 1.10405379223, 0, Why use a comb?,  Write a song., 1, 268.267, 271.10600000000005, 0, 10, 10, 10, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 2, 1.316000000000031, , , , , , , 0, -1, -1, 0, 2005, 12, 2, 3.052000000000021, 0.04216965034285823, , , 0.941236876279, 281.62399999999997, 284.675, , 25, 30, 1, 1, 4, 9.542747411323308, 1, 1, 4, 0.506185089943, 0, Why lift a glass?,  Drink wine., 1, 277.60600000000005, 280.67300000000006, 0, 11, 11, 11, 2005, 12, 2, 3.052000000000021, 0.04216965034285823, , , 0.941236876279, 281.62399999999997, 284.675, , 25, 30, 1, 1, 4, 9.542747411323308, 1, 1, 4, 0.506185089943, 0, Why lift a glass?,  Drink wine., 1, 277.60600000000005, 280.67300000000006, 0, 11, 11, 11, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
