resp_fMRI.keys, resp_fMRI.rt, construal_resp.keys, construal_resp.rt, resp_trial.keys, resp_trial.rt, instructionLoop.thisRepN, instructionLoop.thisTrialN, instructionLoop.thisN, instructionLoop.thisIndex, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrialRanked, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, k_val, designDir, total_time_limit, date, expName, frameRate
, , , , , , , , , , 0, -1, -1, 0, 2001, 33, 1, 0, 0.007498942093324559, 0.007498942093324559, , 3.02871218557, 19.367999999999995, 19.369, , 25, 30, 1, , 5, 32.67042864326649, 1, 3, 2, 1.99065599788, 17, How to show ambition?,  Serve alcohol., 5, 19.36699999999999, 19.367999999999995, 0, 32, 32, 32, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 34, 2, 0, 0.007498942093324559, 0.007498942093324559, , 2.31872729857, 19.37099999999998, 19.371999999999986, , 25, 30, 1, , 7, 35.070428643266474, 1, 3, 2, 1.36037357491, 10, How to teach others?,  Give a lecture., 5, 19.369999999999976, 19.369999999999976, 0, 33, 33, 33, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 35, 1, 0, 0.007498942093324559, 0.007498942093324559, , 1.72189371963, 19.375, 19.375999999999976, , 25, 30, 1, , 2, 29.070428643266485, 1, 3, 2, 3.76551676077, 9, Why take aspirin?,  Serve alcohol., 1, 19.37299999999999, 19.37299999999999, 0, 34, 34, 34, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 36, 2, 0.0010000000000047748, 0.007498942093324559, 0.007498942093324559, , 1.0437893764, 19.37899999999999, 19.37899999999999, , 25, 30, 1, , 9, 37.47042864326649, 1, 3, 2, 1.61075504295, 53, Why click a mouse?,  Open a browser., 1, 19.37699999999998, 19.377999999999986, 0, 35, 35, 35, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 37, 2, 0, 0.007498942093324559, 0.007498942093324559, , 1.84895298445, 19.381, 19.381999999999977, , 25, 30, 1, , 4, 31.470428643266498, 1, 3, 2, 1.31158373666, 21, How to get a promotion?,  Arrive on time., 5, 19.379999999999995, 19.379999999999995, 0, 36, 36, 36, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 38, 1, 0, 0.007498942093324559, 0.007498942093324559, , 1.67351339404, 19.385999999999996, 19.386999999999972, , 25, 30, 1, , 8, 36.27042864326646, 1, 3, 2, 1.91737878928, 11, How to give to charity?,  Use a camera., 5, 19.383999999999986, 19.38499999999999, 0, 37, 37, 37, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 39, 1, 0, 0.007498942093324559, 0.007498942093324559, , 1.48450544215, 19.391999999999996, 19.391999999999996, , 25, 30, 1, , 3, 30.270428643266477, 1, 3, 2, 1.59675213415, 35, Why wear ties?,  Dress formally., 1, 19.386999999999972, 19.387999999999977, 0, 38, 38, 38, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 40, 2, 0, 0.007498942093324559, 0.007498942093324559, , 4.11692016057, 19.393999999999977, 19.394999999999982, , 25, 30, 1, , 6, 33.87042864326645, 1, 3, 2, 4.08860034278, 36, Why open a magazine?,  Read articles., 1, 19.392999999999972, 19.393999999999977, 0, 39, 39, 39, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 41, 2, 0, 0.007498942093324559, 0.007498942093324559, , 1.13559398176, 19.39699999999999, 19.404999999999973, , 25, 30, 1, , 3, 30.270428643266477, 1, 3, 2, 1.10954784509, 12, How to prepare meals?,  Follow recipes., 4, 19.394999999999982, 19.395999999999987, 0, 40, 40, 40, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 42, 1, 0, 0.007498942093324559, 0.007498942093324559, , 2.80018498141, 19.407999999999987, 19.409999999999997, , 25, 30, 1, , 4, 31.470428643266498, 1, 3, 2, 2.32831545882, 57, How to paint a picture?,  Use a brush., 4, 19.406999999999982, 19.407999999999987, 0, 41, 41, 41, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
