resp_fMRI.keys, resp_fMRI.rt, construal_resp.keys, construal_resp.rt, resp_trial.keys, resp_trial.rt, instructionLoop.thisRepN, instructionLoop.thisTrialN, instructionLoop.thisN, instructionLoop.thisIndex, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrialRanked, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, k_val, designDir, total_time_limit, date, expName, frameRate, finish_screen_end_response.keys, finish_screen_end_response.rt, instructionLoop.thisRepN, instructionLoop.thisTrialN, instructionLoop.thisN, instructionLoop.thisIndex, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrialRanked, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, k_val, designDir, total_time_limit, date, expName, frameRate
, , , , , , , , , , 0, -1, -1, 0, 2001, 11, R, 6.004000000000019, 0.01778279410038923, 0.01778279410038923, , 3.14616656681, 116.113, 122.11700000000002, , 12.980950995438706, 31, 1, , 5, 90, 0, 1, 1, 1.25752472225, 41, Why cut paper?,  Clip coupons., 1, 110.844, 114.846, 0, 10, 10, 10, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 11, R, 6.004000000000019, 0.01778279410038923, 0.01778279410038923, , 3.14616656681, 116.113, 122.11700000000002, , 12.980950995438706, 31, 1, , 5, 90, 0, 1, 1, 1.25752472225, 41, Why cut paper?,  Clip coupons., 1, 110.844, 114.846, 0, 10, 10, 10, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 12, R, 6.003999999999962, 0.01778279410038923, 0.01778279410038923, , 2.57414136872, 130.887, 136.89, , 12.562210640747136, 30, 1, , 5, 90, 0, 1, 1, 2.17864874502, 50, Why use a remote?,  Watch television., 1, 124.69200000000001, 128.702, 0, 11, 11, 11, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 12, R, 6.003999999999962, 0.01778279410038923, 0.01778279410038923, , 2.57414136872, 130.887, 136.89, , 12.562210640747136, 30, 1, , 5, 90, 0, 1, 1, 2.17864874502, 50, Why use a remote?,  Watch television., 1, 124.69200000000001, 128.702, 0, 11, 11, 11, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 13, R, 6.0020000000000095, 0.01778279410038923, 0.01778279410038923, , 1.17672706347, 143.423, 149.42400000000004, , 10.049768512597709, 24, 1, , 5, 90, 0, 1, 1, 1.33671465959, 42, Why enter a classroom?,  Attend a school., 2, 138.06900000000002, 142.072, 0, 12, 12, 12, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 13, R, 6.0020000000000095, 0.01778279410038923, 0.01778279410038923, , 1.17672706347, 143.423, 149.42400000000004, , 10.049768512597709, 24, 1, , 5, 90, 0, 1, 1, 1.33671465959, 42, Why enter a classroom?,  Attend a school., 2, 138.06900000000002, 142.072, 0, 12, 12, 12, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 14, R, 6.002999999999929, 0.01778279410038923, 0.01778279410038923, , 1.18774239281, 157.62800000000004, 163.63200000000006, , 14.237172059513421, 34, 1, , 5, 90, 0, 1, 1, 2.99940375052, 47, Why write a poem?,  Express an idea., 2, 150.625, 154.62699999999995, 0, 13, 13, 13, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 14, R, 6.002999999999929, 0.01778279410038923, 0.01778279410038923, , 1.18774239281, 157.62800000000004, 163.63200000000006, , 14.237172059513421, 34, 1, , 5, 90, 0, 1, 1, 2.99940375052, 47, Why write a poem?,  Express an idea., 2, 150.625, 154.62699999999995, 0, 13, 13, 13, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 15, R, 6.005999999999972, 0.01778279410038923, 0.01778279410038923, , 6.17468348931, 176.16499999999996, 182.16999999999996, , 10.88724922198085, 26, 1, , 5, 90, 0, 1, 1, 2.35023721395, 25, How to go shopping?,  Use credit cards., 4, 169.81000000000006, 173.812, 0, 14, 14, 14, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 15, R, 6.005999999999972, 0.01778279410038923, 0.01778279410038923, , 6.17468348931, 176.16499999999996, 182.16999999999996, , 10.88724922198085, 26, 1, , 5, 90, 0, 1, 1, 2.35023721395, 25, How to go shopping?,  Use credit cards., 4, 169.81000000000006, 173.812, 0, 14, 14, 14, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 16, R, 6.004000000000019, 0.01778279410038923, 0.01778279410038923, , 2.70918845417, 190.716, 196.72000000000003, , 11.724729931363994, 28, 1, , 5, 90, 0, 1, 1, 1.80510084824, 23, How to read articles?,  Open a magazine., 4, 184.889, 188.899, 0, 15, 15, 15, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 16, R, 6.004000000000019, 0.01778279410038923, 0.01778279410038923, , 2.70918845417, 190.716, 196.72000000000003, , 11.724729931363994, 28, 1, , 5, 90, 0, 1, 1, 1.80510084824, 23, How to read articles?,  Open a magazine., 4, 184.889, 188.899, 0, 15, 15, 15, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 17, L, 6.04099999999994, 0.01778279410038923, 0.01778279410038923, , 3.05827485225, 205.02300000000002, 211.06399999999996, , 11.305989576672422, 27, 1, , 5, 90, 0, 1, 1, 1.22446126837, 29, Why wear ties?,  Dress formally., 1, 199.78600000000006, 203.789, 0, 16, 16, 16, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 17, L, 6.04099999999994, 0.01778279410038923, 0.01778279410038923, , 3.05827485225, 205.02300000000002, 211.06399999999996, , 11.305989576672422, 27, 1, , 5, 90, 0, 1, 1, 1.22446126837, 29, Why wear ties?,  Dress formally., 1, 199.78600000000006, 203.789, 0, 16, 16, 16, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 18, R, 6.074999999999932, 0.01778279410038923, 0.01778279410038923, , 1.08380517698, 217.97400000000005, 224.04899999999998, , 8.793547448522995, 21, 1, , 5, 90, 0, 1, 1, 1.71093907438, 58, Why turn a doorknob?,  Enter a classroom., 1, 212.17700000000002, 216.21699999999998, 0, 17, 17, 17, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 18, R, 6.074999999999932, 0.01778279410038923, 0.01778279410038923, , 1.08380517698, 217.97400000000005, 224.04899999999998, , 8.793547448522995, 21, 1, , 5, 90, 0, 1, 1, 1.71093907438, 58, Why turn a doorknob?,  Enter a classroom., 1, 212.17700000000002, 216.21699999999998, 0, 17, 17, 17, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 19, L, 6.015999999999963, 0.01778279410038923, 0.01778279410038923, , 2.48472906614, 234.59500000000003, 240.611, , 13.399691350130277, 32, 1, , 5, 90, 0, 1, 1, 3.92934570762, 44, Why avoid diseases?,  Live a long life., 3, 226.54899999999998, 230.663, 0, 18, 18, 18, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 19, L, 6.015999999999963, 0.01778279410038923, 0.01778279410038923, , 2.48472906614, 234.59500000000003, 240.611, , 13.399691350130277, 32, 1, , 5, 90, 0, 1, 1, 3.92934570762, 44, Why avoid diseases?,  Live a long life., 3, 226.54899999999998, 230.663, 0, 18, 18, 18, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 20, L, 6.04099999999994, 0.01778279410038923, 0.01778279410038923, , 2.02851075283, 248.18100000000004, 254.22199999999998, , 15.074652768896561, 36, 1, , 5, 90, 0, 1, 1, 1.47533718187, 49, Why keep a memory?,  Feel nostalgia., 3, 242.66700000000003, 246.69299999999998, 0, 19, 19, 19, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 20, L, 6.04099999999994, 0.01778279410038923, 0.01778279410038923, , 2.02851075283, 248.18100000000004, 254.22199999999998, , 15.074652768896561, 36, 1, , 5, 90, 0, 1, 1, 1.47533718187, 49, Why keep a memory?,  Feel nostalgia., 3, 242.66700000000003, 246.69299999999998, 0, 19, 19, 19, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 21, L, 6.196000000000026, 0.01778279410038923, 0.01778279410038923, , 1.11274387959, 265.428, 271.624, , 15.074652768896561, 36, 1, , 5, 90, 0, 1, 1, 5.88836535773, 39, How to entertain others?,  Write a song., 5, 255.35900000000004, 259.4, 0, 20, 20, 20, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 21, L, 6.196000000000026, 0.01778279410038923, 0.01778279410038923, , 1.11274387959, 265.428, 271.624, , 15.074652768896561, 36, 1, , 5, 90, 0, 1, 1, 5.88836535773, 39, How to entertain others?,  Write a song., 5, 255.35900000000004, 259.4, 0, 20, 20, 20, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
