Subject,Trial,SSonLorR,RT,startingK,endingK,TrialStart,ITI,choiceUp,choiceMade,TrialOver,SSamount,LLamount,Condition,Choice,SSdelay,LLdelay,salienceCondition,day,runid,TaskInterval,RewardTrialRanked,Construal_QuestionText,Construal_AnswerText,Construal_Condition
2104,1,L,,,,,0.68970310791,,,,,21,1,,5,90,0,3,4,0.744932292828,0,Why open a magazine?, Read articles.,1
2104,2,L,,,,,1.13823916056,,,,,29,1,,5,90,0,3,4,0.734490830346,2,Why click a mouse?, Open a browser.,1
2104,3,R,,,,,2.46346829308,,,,,30,1,,5,90,0,3,4,0.77282297043,3,How to spread joy?, Get a job.,6
2104,4,R,,,,,3.62914047611,,,,,38,1,,5,90,0,3,4,1.15674330229,1,How to support a cause?, Give to charity.,6
