Subject,Trial,SSonLorR,RT,startingK,endingK,TrialStart,ITI,choiceUp,choiceMade,TrialOver,SSamount,LLamount,Condition,Choice,SSdelay,LLdelay,salienceCondition,day,runid,TaskInterval,RewardTrialRanked,Construal_QuestionText,Construal_AnswerText,Construal_Condition
2066,1,R,,,,,1.72710483751,,,,25,30,1,,3,,1,3,3,0.792392755387,1,Why avoid diseases?, Live a long life.,3
2066,2,R,,,,,2.82687054634,,,,25,30,1,,6,,1,3,3,1.26296566025,2,Why show appreciation?, Spread joy.,3
2066,3,L,,,,,2.60821647098,,,,25,30,1,,2,,1,3,3,1.31547606638,3,Why go shopping?, Make a purchase.,2
2066,4,L,,,,,0.858573305101,,,,25,30,1,,8,,1,3,3,0.624614522875,0,Why open a browser?, Write an email.,2
