Subject,Trial,SSonLorR,RT,startingK,endingK,TrialStart,ITI,choiceUp,choiceMade,TrialOver,SSamount,LLamount,Condition,Choice,SSdelay,LLdelay,salienceCondition,day,runid,TaskInterval,RewardTrialRanked,Construal_QuestionText,Construal_AnswerText,Construal_Condition
2182,1,L,,,,,2.95964524428,,,,,34,1,,5,90,0,2,4,0.884980409614,1,How to lift weights?, Fasten seatbelt.,4
2182,2,R,,,,,1.69956385144,,,,,31,1,,5,90,0,2,4,2.04608238411,3,How to open a browser?, Click a mouse.,4
2182,3,L,,,,,2.20959058448,,,,,36,1,,5,90,0,2,4,0.943088924876,2,How to feel secure?, Save money.,6
2182,4,R,,,,,0.836144333847,,,,,20,1,,5,90,0,2,4,0.97452831824,0,How to improve oneself?, Gain knowledge.,6
