Subject,Trial,SSonLorR,RT,startingK,endingK,TrialStart,ITI,choiceUp,choiceMade,TrialOver,SSamount,LLamount,Condition,Choice,SSdelay,LLdelay,salienceCondition,day,runid,TaskInterval,RewardTrialRanked,Construal_QuestionText,Construal_AnswerText,Construal_Condition
2135,1,L,,,,,0.939376142,,,,25,30,1,,9,,1,3,4,1.81331402278,0,How to make breakfast?, Crack eggs.,4
2135,2,L,,,,,5.15595678864,,,,25,30,1,,2,,1,3,4,0.889355293418,1,How to write a song?, Play piano.,4
2135,3,R,,,,,0.719831791761,,,,25,30,1,,3,,1,3,4,1.12006214827,3,Why wear ties?, Dress formally.,1
2135,4,R,,,,,0.700703633743,,,,25,30,1,,8,,1,3,4,1.04412787982,2,Why use credit cards?, Go shopping.,1
