Subject,Trial,SSonLorR,RT,startingK,endingK,TrialStart,ITI,choiceUp,choiceMade,TrialOver,SSamount,LLamount,Condition,Choice,SSdelay,LLdelay,salienceCondition,day,runid,TaskInterval,RewardTrialRanked,Construal_QuestionText,Construal_AnswerText,Construal_Condition
2015,1,R,,,,,4.1482775958,,,,,22,1,,5,90,0,3,3,1.53538032855,1,How to live a long life?, Avoid diseases.,6
2015,2,L,,,,,1.3120584105,,,,,39,1,,5,90,0,3,3,1.02378083532,0,How to feel sociable?, Hold a party.,6
2015,3,R,,,,,1.32319853884,,,,,21,1,,5,90,0,3,3,0.923147680216,3,Why use a camera?, Give to charity.,2
2015,4,L,,,,,0.589744023074,,,,,37,1,,5,90,0,3,3,0.607837904252,2,Why drink wine?, Consume alcohol.,2
