Subject,Trial,SSonLorR,RT,startingK,endingK,TrialStart,ITI,choiceUp,choiceMade,TrialOver,SSamount,LLamount,Condition,Choice,SSdelay,LLdelay,salienceCondition,day,runid,TaskInterval,RewardTrialRanked,Construal_QuestionText,Construal_AnswerText,Construal_Condition
2074,1,L,,,,,1.03338515643,,,,25,30,1,,1,,1,2,3,0.979982274007,2,How to show intellect?, Share ideas.,6
2074,2,R,,,,,0.719483158009,,,,25,30,1,,6,,1,2,3,0.520067047959,3,How to feel productive?, Finish a job.,6
2074,3,L,,,,,5.0909628511,,,,25,30,1,,2,,1,2,3,1.10174445653,0,How to give a lecture?, Brush ones hair.,4
2074,4,R,,,,,2.08788833333,,,,25,30,1,,9,,1,2,3,0.568434563988,1,How to write a check?, Sign ones name.,4
