Subject,Trial,SSonLorR,RT,startingK,endingK,TrialStart,ITI,choiceUp,choiceMade,TrialOver,SSamount,LLamount,Condition,Choice,SSdelay,LLdelay,salienceCondition,day,runid,TaskInterval,Construal_TrialN,Construal_QuestionText,Construal_AnswerText,Construal_Stimulus,Construal_Condition
1,69,2,,,,,1.5,,,,,38,1,,5,90,0,1,1,0.615030684498,0,How to buy food?, Go to the supermarket.,44,4
1,72,2,,,,,1.0,,,,,25,1,,5,90,0,1,1,0.648818215151,0,Why buy food?, To eat.,110,1
