resp_fMRI.keys, resp_fMRI.rt, respMetaInstructions.keys, respMetaInstructions.rt, respTaskInstructions.keys, respTaskInstructions.rt, respHowWhyTaskInstructions.keys, respHowWhyTaskInstructions.rt, respBlockInstructions.keys, respBlockInstructions.rt, construal_resp.keys, construal_resp.rt, resp_trial.keys, resp_trial.rt, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, Construal_TrialN, Construal_QuestionText, Construal_AnswerText, Construal_Stimulus, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, Construal_TrialN, Construal_QuestionText, Construal_AnswerText, Construal_Stimulus, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, designDir, date, expName, frameRate
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 9, 2, 6.00800000000001, 0.01778279410038923, 0.01778279410038923, , 1.61322323166, 136.28699999999998, 142.295, , 25, 30, 1, , 5, 17.24682650380699, 1, 1, 1, 2.26817777982, 9, How to write an email?,  Open a browser., 72, 5, 130.664, 134.66899999999998, 0, 8, 8, 8, 2002, 9, 2, 6.00800000000001, 0.01778279410038923, 0.01778279410038923, , 1.61322323166, 136.28699999999998, 142.295, , 25, 30, 1, , 5, 17.24682650380699, 1, 1, 1, 2.26817777982, 9, How to write an email?,  Open a browser., 72, 5, 130.664, 134.66899999999998, 0, 8, 8, 8, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 10, 2, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 2.62723638081, 151.571, 157.578, , 25, 30, 1, , 7, 19.646826503806977, 1, 1, 1, 0.970936464729, 10, Why show competence?,  Pass the time., 123, 3, 144.92999999999998, 148.935, 0, 9, 9, 9, 2002, 10, 2, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 2.62723638081, 151.571, 157.578, , 25, 30, 1, , 7, 19.646826503806977, 1, 1, 1, 0.970936464729, 10, Why show competence?,  Pass the time., 123, 3, 144.92999999999998, 148.935, 0, 9, 9, 9, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 11, 2, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 1.45997847114, 164.51899999999998, 170.52599999999998, , 25, 30, 1, , 4, 16.046826503806976, 1, 1, 1, 1.07823455696, 11, Why give applause?,  Show appreciation., 95, 2, 159.046, 163.051, 0, 10, 10, 10, 2002, 11, 2, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 1.45997847114, 164.51899999999998, 170.52599999999998, , 25, 30, 1, , 4, 16.046826503806976, 1, 1, 1, 1.07823455696, 11, Why give applause?,  Show appreciation., 95, 2, 159.046, 163.051, 0, 10, 10, 10, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 12, 1, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 0.734883740558, 176.03199999999998, 182.039, , 25, 30, 1, , 6, 18.446826503806978, 1, 1, 1, 1.52549790597, 12, How to feel secure?,  Save money., 21, 6, 171.277, 175.28199999999998, 0, 11, 11, 11, 2002, 12, 1, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 0.734883740558, 176.03199999999998, 182.039, , 25, 30, 1, , 6, 18.446826503806978, 1, 1, 1, 1.52549790597, 12, How to feel secure?,  Save money., 21, 6, 171.277, 175.28199999999998, 0, 11, 11, 11, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 13, 2, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 1.0183778031, 188.112, 194.119, , 25, 30, 1, , 1, 12.446826503806978, 1, 1, 1, 0.651624354788, 13, How to show an ability?,  Satisfy hunger., 56, 6, 183.07399999999998, 187.078, 0, 12, 12, 12, 2002, 13, 2, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 1.0183778031, 188.112, 194.119, , 25, 30, 1, , 1, 12.446826503806978, 1, 1, 1, 0.651624354788, 13, How to show an ability?,  Satisfy hunger., 56, 6, 183.07399999999998, 187.078, 0, 12, 12, 12, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 14, 1, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 2.79178742805, 203.73, 209.737, , 25, 30, 1, , 3, 14.846826503806989, 1, 1, 1, 1.49262196024, 14, Why drink coffee?,  Consume caffeine., 86, 1, 196.922, 200.928, 0, 13, 13, 13, 2002, 14, 1, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 2.79178742805, 203.73, 209.737, , 25, 30, 1, , 3, 14.846826503806989, 1, 1, 1, 1.49262196024, 14, Why drink coffee?,  Consume caffeine., 86, 1, 196.922, 200.928, 0, 13, 13, 13, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 15, 1, 6.006, 0.01778279410038923, 0.01778279410038923, , 1.10107130809, 215.97799999999998, 221.98399999999998, , 25, 30, 1, , 2, 13.646826503806977, 1, 1, 1, 1.8610628658, 15, Why share ideas?,  Show intellect., 121, 3, 210.855, 214.85899999999998, 0, 14, 14, 14, 2002, 15, 1, 6.006, 0.01778279410038923, 0.01778279410038923, , 1.10107130809, 215.97799999999998, 221.98399999999998, , 25, 30, 1, , 2, 13.646826503806977, 1, 1, 1, 1.8610628658, 15, Why share ideas?,  Show intellect., 121, 3, 210.855, 214.85899999999998, 0, 14, 14, 14, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 16, 1, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 3.07072615372, 232.16199999999998, 238.16899999999998, , 25, 30, 1, , 8, 20.846826503806987, 1, 1, 1, 0.613636320713, 16, Why show intelligence?,  Impress others., 125, 3, 225.071, 229.076, 0, 15, 15, 15, 2002, 16, 1, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 3.07072615372, 232.16199999999998, 238.16899999999998, , 25, 30, 1, , 8, 20.846826503806987, 1, 1, 1, 0.613636320713, 16, Why show intelligence?,  Impress others., 125, 3, 225.071, 229.076, 0, 15, 15, 15, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 17, 2, 6.006999999999948, 0.01778279410038923, 0.01778279410038923, , 2.6912555192, 247.58, 253.58699999999996, , 25, 30, 1, , 2, 13.646826503806977, 1, 1, 1, 0.541870922322, 17, Why contact a friend?,  Feel connected., 81, 3, 240.873, 244.87699999999998, 0, 16, 16, 16, 2002, 17, 2, 6.006999999999948, 0.01778279410038923, 0.01778279410038923, , 2.6912555192, 247.58, 253.58699999999996, , 25, 30, 1, , 2, 13.646826503806977, 1, 1, 1, 0.541870922322, 17, Why contact a friend?,  Feel connected., 81, 3, 240.873, 244.87699999999998, 0, 16, 16, 16, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 18, 2, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 1.48219829792, 260.56100000000004, 266.56800000000004, , 25, 30, 1, , 4, 16.046826503806976, 1, 1, 1, 1.28429282238, 18, Why use chalk?,  Get fit., 137, 1, 255.07199999999997, 259.077, 0, 17, 17, 17, 2002, 18, 2, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 1.48219829792, 260.56100000000004, 266.56800000000004, , 25, 30, 1, , 4, 16.046826503806976, 1, 1, 1, 1.28429282238, 18, Why use chalk?,  Get fit., 137, 1, 255.07199999999997, 259.077, 0, 17, 17, 17, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
