resp_fMRI.keys, resp_fMRI.rt, construal_resp.keys, construal_resp.rt, resp_trial.keys, resp_trial.rt, instructionLoop.thisRepN, instructionLoop.thisTrialN, instructionLoop.thisN, instructionLoop.thisIndex, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrialRanked, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, k_val, designDir, total_time_limit, date, expName, frameRate, instructionLoop.thisRepN, instructionLoop.thisTrialN, instructionLoop.thisN, instructionLoop.thisIndex, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrialRanked, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, k_val, designDir, total_time_limit, date, expName, frameRate
, , , , , , , , , , 0, -1, -1, 0, 2000, 11, 2, 0, 0.01, 0.01, , 2.04113406304, 26.284999999999997, 26.288999999999987, , 20.44736842105263, 37, 1, , 5, 90, 0, 3, 2, 1.9648727498, 39, Why provide food?,  Help a person., 3, 26.282999999999987, 26.283999999999992, 0, 10, 10, 10, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60, , , , , 0, -1, -1, 0, 2000, 11, 2, 0, 0.01, 0.01, , 2.04113406304, 26.284999999999997, 26.288999999999987, , 20.44736842105263, 37, 1, , 5, 90, 0, 3, 2, 1.9648727498, 39, Why provide food?,  Help a person., 3, 26.282999999999987, 26.283999999999992, 0, 10, 10, 10, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 12, 1, 0, 0.01, 0.01, , 1.02122478233, 26.290999999999997, 26.293000000000006, , 21.55263157894737, 39, 1, , 5, 90, 0, 3, 2, 3.37321818914, 3, Why attend a school?,  Get a degree., 3, 26.288999999999987, 26.289999999999992, 0, 11, 11, 11, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60, , , , , 0, -1, -1, 0, 2000, 12, 1, 0, 0.01, 0.01, , 1.02122478233, 26.290999999999997, 26.293000000000006, , 21.55263157894737, 39, 1, , 5, 90, 0, 3, 2, 3.37321818914, 3, Why attend a school?,  Get a degree., 3, 26.288999999999987, 26.289999999999992, 0, 11, 11, 11, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 13, 2, 0, 0.01, 0.01, , 1.36400350579, 26.295999999999992, 26.300999999999988, , 18.789473684210527, 34, 1, , 5, 90, 0, 3, 2, 1.40812059187, 33, How to plan ahead?,  Make a list., 5, 26.293000000000006, 26.29400000000001, 0, 12, 12, 12, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60, , , , , 0, -1, -1, 0, 2000, 13, 2, 0, 0.01, 0.01, , 1.36400350579, 26.295999999999992, 26.300999999999988, , 18.789473684210527, 34, 1, , 5, 90, 0, 3, 2, 1.40812059187, 33, How to plan ahead?,  Make a list., 5, 26.293000000000006, 26.29400000000001, 0, 12, 12, 12, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 14, 1, 0, 0.01, 0.01, , 4.08672749004, 26.304000000000002, 26.305000000000007, , 18.236842105263158, 33, 1, , 5, 90, 0, 3, 2, 3.52441574402, 26, How to contact a friend?,  Make a phone call., 5, 26.300999999999988, 26.301999999999992, 0, 13, 13, 13, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60, , , , , 0, -1, -1, 0, 2000, 14, 1, 0, 0.01, 0.01, , 4.08672749004, 26.304000000000002, 26.305000000000007, , 18.236842105263158, 33, 1, , 5, 90, 0, 3, 2, 3.52441574402, 26, How to contact a friend?,  Make a phone call., 5, 26.300999999999988, 26.301999999999992, 0, 13, 13, 13, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 15, 2, 0, 0.01, 0.01, , 1.14232208174, 26.310000000000002, 26.314999999999998, , 11.05263157894737, 20, 1, , 5, 90, 0, 3, 2, 1.37451064318, 37, Why show intelligence?,  Impress others., 3, 26.307999999999993, 26.308999999999997, 0, 14, 14, 14, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60, , , , , 0, -1, -1, 0, 2000, 15, 2, 0, 0.01, 0.01, , 1.14232208174, 26.310000000000002, 26.314999999999998, , 11.05263157894737, 20, 1, , 5, 90, 0, 3, 2, 1.37451064318, 37, Why show intelligence?,  Impress others., 3, 26.307999999999993, 26.308999999999997, 0, 14, 14, 14, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 16, 2, 0, 0.01, 0.01, , 1.3043613062, 26.31899999999999, 26.322000000000003, , 15.473684210526319, 28, 1, , 5, 90, 0, 3, 2, 1.60427418035, 48, Why save money?,  Get fit., 3, 26.317000000000007, 26.318000000000012, 0, 15, 15, 15, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60, , , , , 0, -1, -1, 0, 2000, 16, 2, 0, 0.01, 0.01, , 1.3043613062, 26.31899999999999, 26.322000000000003, , 15.473684210526319, 28, 1, , 5, 90, 0, 3, 2, 1.60427418035, 48, Why save money?,  Get fit., 3, 26.317000000000007, 26.318000000000012, 0, 15, 15, 15, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 17, 2, 0.0009999999999763531, 0.01, 0.01, , 1.71815166729, 26.32499999999999, 26.326999999999998, , 13.263157894736842, 24, 1, , 5, 90, 0, 3, 2, 4.58991311961, 13, How to watch television?,  Use a remote., 4, 26.323000000000008, 26.323000000000008, 0, 16, 16, 16, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60, , , , , 0, -1, -1, 0, 2000, 17, 2, 0.0009999999999763531, 0.01, 0.01, , 1.71815166729, 26.32499999999999, 26.326999999999998, , 13.263157894736842, 24, 1, , 5, 90, 0, 3, 2, 4.58991311961, 13, How to watch television?,  Use a remote., 4, 26.323000000000008, 26.323000000000008, 0, 16, 16, 16, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 18, 1, 0, 0.01, 0.01, , 2.42303767011, 26.329999999999984, 26.331999999999994, , 16.026315789473685, 29, 1, , 5, 90, 0, 3, 2, 1.05899403839, 14, How to prepare meals?,  Follow recipes., 4, 26.329000000000008, 26.329000000000008, 0, 17, 17, 17, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60, , , , , 0, -1, -1, 0, 2000, 18, 1, 0, 0.01, 0.01, , 2.42303767011, 26.329999999999984, 26.331999999999994, , 16.026315789473685, 29, 1, , 5, 90, 0, 3, 2, 1.05899403839, 14, How to prepare meals?,  Follow recipes., 4, 26.329000000000008, 26.329000000000008, 0, 17, 17, 17, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 19, 1, 0, 0.01, 0.01, , 1.52017905905, 26.334000000000003, 26.335999999999984, , 13.815789473684212, 25, 1, , 5, 90, 0, 3, 2, 1.16760884213, 58, Why wash ones hands?,  Kill germs., 1, 26.331999999999994, 26.334000000000003, 0, 18, 18, 18, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60, , , , , 0, -1, -1, 0, 2000, 19, 1, 0, 0.01, 0.01, , 1.52017905905, 26.334000000000003, 26.335999999999984, , 13.815789473684212, 25, 1, , 5, 90, 0, 3, 2, 1.16760884213, 58, Why wash ones hands?,  Kill germs., 1, 26.331999999999994, 26.334000000000003, 0, 18, 18, 18, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 20, 2, 0, 0.01, 0.01, , 2.83163970276, 26.340000000000003, 26.341999999999985, , 14.921052631578949, 27, 1, , 5, 90, 0, 3, 2, 1.31661398851, 43, Why point a camera?,  Take a picture., 1, 26.337999999999994, 26.339, 0, 19, 19, 19, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60, , , , , 0, -1, -1, 0, 2000, 20, 2, 0, 0.01, 0.01, , 2.83163970276, 26.340000000000003, 26.341999999999985, , 14.921052631578949, 27, 1, , 5, 90, 0, 3, 2, 1.31661398851, 43, Why point a camera?,  Take a picture., 1, 26.337999999999994, 26.339, 0, 19, 19, 19, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60
