Subject,Trial,SSonLorR,RT,startingK,endingK,TrialStart,ITI,choiceUp,choiceMade,TrialOver,SSamount,LLamount,Condition,Choice,SSdelay,LLdelay,salienceCondition,day,runid,TaskInterval,RewardTrialRanked,Construal_QuestionText,Construal_AnswerText,Construal_Condition
2148,1,L,,,,,2.14123069823,,,,,27,1,,5,90,0,3,4,0.764717258694,1,,,
2148,2,R,,,,,2.58551171369,,,,,29,1,,5,90,0,3,4,0.737173106564,3,,,
2148,3,R,,,,,1.29214182507,,,,,38,1,,5,90,0,3,4,1.65719550068,2,,,
2148,4,L,,,,,1.59932011033,,,,,31,1,,5,90,0,3,4,0.802074627829,0,,,
