Subject,Trial,SSonLorR,RT,startingK,endingK,TrialStart,ITI,choiceUp,choiceMade,TrialOver,SSamount,LLamount,Condition,Choice,SSdelay,LLdelay,salienceCondition,day,runid,TaskInterval,RewardTrialRanked,Construal_QuestionText,Construal_AnswerText,Construal_Condition
2194,1,L,,,,,0.912539695949,,,,25,30,1,,7,,1,3,3,0.762123777066,2,,,
2194,2,L,,,,,3.02741925825,,,,25,30,1,,3,,1,3,3,0.598715373619,0,,,
2194,3,R,,,,,0.984788857385,,,,25,30,1,,8,,1,3,3,0.868612961157,1,,,
2194,4,R,,,,,2.7202072068,,,,25,30,1,,4,,1,3,3,1.45555854741,3,,,
