Action,Condition,Answer,Percent,Q_Nchar,Q_Nword,Q_Nsyll,Q_Freq,Q_Body,Q_Spec,Q_Conc,Q_Imag,A_Nchar,A_Nword,A_Nsyll,A_Freq,A_Body,A_Spec,A_Conc,A_Imag
27,6,1,100,13,3,5,4.1,3.095238095,1.972222222,2.2,2.855263158,11,2,4,3.9,2.831325301,4.081081081,3.850574713,3.539473684
11,5,1,100,13,3,4,3.5,4.178571429,4.297297297,5.344827586,5.653333333,15,3,5,2.8,5.879518072,5.8,6.313953488,6.621621622
28,6,1,100,12,2,4,2.6,2.642857143,1.777777778,2.139534884,2.421052632,16,2,5,2.3,3.035714286,1.5,2.931034483,3.565789474
10,5,1,100,13,2,5,2.7,4.25,2.864864865,2.873563218,2.302631579,9,2,2,3.3,5.341463415,4.567567568,4.586206897,3.881578947
20,6,1,97,13,2,4,3.1,2.75,2.527777778,2.430232558,2.082191781,8,2,3,2.8,2.880952381,3.513513514,3.471264368,3.368421053
5,5,1,97,12,2,3,3,6.047619048,3.945945946,5.448275862,4.684210526,11,2,2,2.6,6.204819277,5.472222222,6.670588235,6.666666667
18,4,1,97,11,2,3,2,5.535714286,6.085714286,6.597701149,6.657894737,8,2,3,3.9,5.795180723,6.516129032,6.78313253,6.797297297
16,5,1,97,14,2,5,2.5,5.337349398,5.459459459,6.571428571,6.333333333,9,2,2,3.6,5.506024096,6.361111111,6.746987952,6.786666667
13,4,2,91,15,2,4,2.1,5.614457831,5.171428571,6.081395349,5.819444444,12,2,3,2.8,5.928571429,5.135135135,6.569767442,6.581081081
17,4,1,100,15,2,4,2.6,5.512195122,4.405405405,6.32183908,6.464788732,9,2,2,4,5.642857143,5.243243243,6.535714286,6.626666667
3,5,1,100,14,3,4,3.7,3.714285714,4.810810811,5.045977011,5.078947368,14,4,4,4.3,4.416666667,5.657142857,6.252873563,6.857142857
27,4,1,100,13,2,4,2.5,5.361445783,4.638888889,5.73255814,6.106666667,8,2,2,3.1,5.746987952,5.72972973,6.595238095,6.337837838
16,4,1,97,9,2,2,3.6,5.506024096,6.361111111,6.746987952,6.786666667,11,3,4,3.7,5.964285714,6.111111111,6.627906977,7
28,5,1,97,16,2,5,2.3,3.035714286,1.5,2.931034483,3.565789474,15,2,5,3.7,3.595238095,5.189189189,5.872093023,6.869565217
19,5,1,90,15,2,5,3.1,3.69047619,2.405405405,3.195402299,4.263157895,10,3,3,3.7,2.630952381,4.378378378,5.08045977,4.921052632
19,6,1,93,14,3,5,2.9,3.583333333,2.324324324,2.850574713,3.631578947,15,2,5,3.1,3.69047619,2.405405405,3.195402299,4.263157895
8,5,2,93,12,2,3,2.9,2.195121951,2.583333333,2.264367816,3.407894737,11,2,3,3.4,5.734939759,5.972222222,6.609195402,6.684210526
3,6,1,100,13,2,4,3.2,2.154761905,1.558823529,1.642857143,2.346666667,14,3,4,3.7,3.714285714,4.810810811,5.045977011,5.078947368
8,6,1,100,13,2,4,3,1.524390244,2.416666667,1.464285714,2.907894737,11,3,5,4,1.397590361,3.054054054,1.895348837,2.333333333
13,6,1,100,14,2,4,3.3,2.43373494,2.027027027,1.797619048,2.815789474,10,3,4,4,4.148148148,3.513513514,4.494252874,3.657894737
18,6,1,91,10,2,3,3.6,1.915662651,1.972222222,1.634146341,2.828947368,9,2,3,4.2,2.543209877,4.162162162,3.931034483,3.736842105
25,6,1,100,12,2,4,3.1,2.214285714,2.081081081,1.83908046,3.026315789,10,3,4,4.2,4.369047619,4.162162162,5.034482759,5.25
17,6,1,97,8,2,2,3.9,3.178571429,2.189189189,1.987804878,3.315789474,10,2,3,3,4.095238095,2.837837838,3.091954023,2.960526316
4,5,1,97,13,2,3,2.9,1.710843373,2.108108108,2.287356322,3.144736842,12,2,4,3.3,2.5,4.297297297,5.252873563,6.013513514
11,6,1,100,11,3,4,4.1,2.797619048,3.702702703,4.574712644,4.171052632,13,3,4,3.5,4.178571429,4.297297297,5.344827586,5.653333333
27,5,1,89,13,3,5,4.1,2.831325301,4.081081081,3.850574713,3.539473684,12,3,4,4,4.238095238,5.416666667,4.379310345,4.328947368
23,4,2,94,12,3,4,3.7,3.060240964,4.513513514,5,5.368421053,14,3,3,3.3,5.964285714,6.606060606,6.651162791,7
2,4,1,97,12,2,3,3.8,5.547619048,5.941176471,6.083333333,6.581081081,10,2,3,3.2,6.107142857,6.685714286,7,7
1,5,2,100,13,3,5,3.8,3.642857143,3.972972973,4.781609195,4.578947368,10,3,5,3.8,4.857142857,5.513513514,6.360465116,6.689189189
26,4,1,86,10,2,3,4.1,5,3.918918919,5.476744186,6.136986301,14,3,5,3.6,4.892857143,5.285714286,6.214285714,6.540540541
14,6,1,100,13,2,4,3.2,3.548780488,2.108108108,2.258823529,2.92,16,2,5,3.6,1.892857143,2.567567568,2.209302326,3.106666667
4,6,1,97,14,2,4,2.3,3.202380952,1.129032258,2.022988506,2.813333333,13,2,3,2.9,1.710843373,2.108108108,2.287356322,3.144736842
10,4,1,97,9,2,2,3.3,5.341463415,4.567567568,4.586206897,3.881578947,14,3,3,3.7,5.915662651,6.571428571,6.662650602,6.861111111
5,4,2,97,11,2,2,2.6,6.204819277,5.472222222,6.670588235,6.666666667,14,2,4,2,5.797619048,6.588235294,6.86746988,6.878378378
10,6,1,97,13,4,4,3.1,4.369047619,3.756756757,3.298850575,3.078947368,13,2,5,2.7,4.25,2.864864865,2.873563218,2.302631579
25,5,2,100,13,3,5,3.6,3.916666667,3.972972973,4.931034483,5.105263158,12,3,4,2.7,5.333333333,4.513513514,6.517647059,6.310810811
6,4,2,93,9,3,3,4.2,3.578313253,4.540540541,5.952941176,6.310810811,14,3,4,3.7,5.951219512,6.242424242,6.627906977,7
3,4,1,97,14,4,4,4.3,4.416666667,5.657142857,6.252873563,6.857142857,11,2,3,2.9,5.523809524,5.388888889,6.548780488,6.693333333
26,5,1,97,13,3,4,3.5,4.476190476,3.297297297,5.694117647,5.92,10,2,3,4.1,5,3.918918919,5.476744186,6.136986301
9,5,1,97,7,2,2,4.2,3.630952381,2.135135135,4.287356322,5.157894737,13,3,4,3.4,4,4.675675676,6.134146341,6.375
12,4,1,97,13,2,3,4.2,5.178571429,4.324324324,6.277108434,6.293333333,9,2,2,3.1,5.857142857,6.428571429,6.843373494,7
25,4,1,97,12,3,4,2.7,5.333333333,4.513513514,6.517647059,6.310810811,15,2,5,2.2,5.857142857,5.571428571,6.571428571,6.546666667
15,4,1,93,12,3,5,2.5,5.166666667,6.166666667,6.352941176,6.666666667,11,3,3,2.6,5.891566265,6.735294118,7,7
9,4,1,100,13,3,4,3.4,4,4.675675676,6.134146341,6.375,9,3,4,3.3,5.880952381,5.939393939,6.425287356,6.833333333
14,4,1,100,18,3,6,3.1,3.178571429,4.081081081,4.551724138,5.144736842,10,3,3,3.8,6.083333333,6.657142857,6.642857143,6.88
6,5,1,100,9,2,3,3.6,1.952380952,2.621621622,2.73255814,3.315789474,9,3,3,4.2,3.578313253,4.540540541,5.952941176,6.310810811
20,4,1,97,12,2,3,2.9,4.916666667,4,6.261904762,5.906666667,13,2,5,2.9,3.547619048,4.621621622,5.137931034,5.666666667
20,5,1,97,11,2,3,3.4,5.109756098,3.27027027,5.436781609,5.052631579,12,2,3,2.9,4.916666667,4,6.261904762,5.906666667
4,4,1,97,12,2,4,3.3,2.5,4.297297297,5.252873563,6.013513514,13,3,6,3.6,6.036144578,6.28125,6.814814815,6.884057971
17,5,1,100,10,2,3,3,4.095238095,2.837837838,3.091954023,2.960526316,15,2,4,2.6,5.512195122,4.405405405,6.32183908,6.464788732
6,6,1,90,11,2,4,2.4,2.097560976,2.028571429,1.802325581,2.184210526,9,2,3,3.6,1.952380952,2.621621622,2.73255814,3.315789474
26,6,1,79,12,3,5,3,3.607142857,1.8,2.620689655,2.921052632,13,3,4,3.5,4.476190476,3.297297297,5.694117647,5.92
12,5,1,97,13,2,5,2.5,5.05952381,4.135135135,4.195402299,4.921052632,13,2,3,4.2,5.178571429,4.324324324,6.277108434,6.293333333
18,5,1,97,9,2,3,4.2,2.543209877,4.162162162,3.931034483,3.736842105,11,2,3,2,5.535714286,6.085714286,6.597701149,6.657894737
24,5,2,100,12,2,4,3.3,2.530120482,2.054054054,2.012048193,2.657894737,12,2,4,3.1,5.590361446,4.324324324,6.186046512,6.178082192
12,6,2,97,13,3,6,3.6,3.719512195,2.054054054,3.298850575,3.315789474,13,2,5,2.5,5.05952381,4.135135135,4.195402299,4.921052632
2,5,1,100,16,2,6,3.3,2.952380952,2.416666667,2.406976744,4.039473684,12,2,3,3.8,5.547619048,5.941176471,6.083333333,6.581081081
15,6,2,97,15,2,4,2.9,4.523809524,3.567567568,4.022988506,4.171052632,12,3,4,2.9,3.619047619,5.416666667,6.034883721,6.315068493
9,6,1,97,14,2,6,3.1,2.547619048,1.161290323,2.348837209,3.25,7,2,2,4.2,3.630952381,2.135135135,4.287356322,5.157894737
5,6,2,97,12,2,5,3.1,2.265060241,2.351351351,2.154761905,3.052631579,12,2,3,3,6.047619048,3.945945946,5.448275862,4.684210526
24,6,1,93,13,2,4,3.1,1.869047619,1.972972973,2.16091954,2.894736842,10,2,3,3.4,2.385542169,2.351351351,2.325581395,3.421052632
14,5,1,97,16,2,5,3.6,1.892857143,2.567567568,2.209302326,3.106666667,18,3,6,3.1,3.178571429,4.081081081,4.551724138,5.144736842
2,6,2,91,9,2,2,3.1,3.083333333,2.027027027,2.058823529,3.223684211,7,3,3,4.8,3.75,3.72972973,4.517241379,4.039473684
23,6,1,100,15,2,3,3.1,2.5,2.054054054,2.290697674,3.013157895,11,2,3,3.6,2.879518072,2.675675676,3.367816092,4.486842105
1,6,1,100,13,3,4,3.6,2.951807229,2.621621622,3.206896552,3.473684211,13,3,5,3.8,3.642857143,3.972972973,4.781609195,4.578947368
8,4,1,100,12,3,4,4.4,4.904761905,5.243243243,6.068965517,6.64,12,3,5,3.2,5.602409639,5.970588235,6.6,6.594594595
23,5,1,100,11,2,3,3.6,2.879518072,2.675675676,3.367816092,4.486842105,12,3,4,3.7,3.060240964,4.513513514,5,5.368421053
28,4,1,97,15,2,5,3.7,3.595238095,5.189189189,5.872093023,6.869565217,10,3,4,3.5,5.641975309,6,6.505882353,6.780821918
1,4,1,97,11,3,3,3.6,5.130952381,6.027777778,6.564705882,6.833333333,13,3,3,4,5.34939759,6,6.607142857,7
24,4,1,97,10,3,3,3.3,2.619047619,4.756756757,5.229885057,5.302631579,11,3,4,3.1,6.035714286,6.588235294,6.839506173,6.835616438
19,4,1,79,10,3,3,3.7,2.630952381,4.378378378,5.08045977,4.921052632,10,2,3,3.6,4.12195122,6.058823529,6.441860465,6.808823529
15,5,1,97,12,3,4,2.9,3.619047619,5.416666667,6.034883721,6.315068493,12,3,5,2.5,5.166666667,6.166666667,6.352941176,6.666666667
11,3,1,100,13,3,4,3.5,4.178571429,4.297297297,5.344827586,5.653333333,11,3,4,4.1,2.797619048,3.702702703,4.574712644,4.171052632
10,3,1,100,13,2,5,2.7,4.25,2.864864865,2.873563218,2.302631579,13,4,4,3.1,4.369047619,3.756756757,3.298850575,3.078947368
5,3,2,97,12,2,3,3,6.047619048,3.945945946,5.448275862,4.684210526,12,2,5,3.1,2.265060241,2.351351351,2.154761905,3.052631579
2,1,1,97,10,2,2,3.2,6.107142857,6.685714286,7,7,12,2,3,3.8,5.547619048,5.941176471,6.083333333,6.581081081
15,1,1,97,11,3,3,2.6,5.891566265,6.735294118,7,7,12,3,5,2.5,5.166666667,6.166666667,6.352941176,6.666666667
18,2,1,97,11,2,3,2,5.535714286,6.085714286,6.597701149,6.657894737,9,2,3,4.2,2.543209877,4.162162162,3.931034483,3.736842105
13,2,1,94,15,2,4,2.1,5.614457831,5.171428571,6.081395349,5.819444444,9,2,3,3.2,2.69047619,3.108108108,2.885057471,3.684210526
17,2,1,97,15,2,4,2.6,5.512195122,4.405405405,6.32183908,6.464788732,10,2,3,3,4.095238095,2.837837838,3.091954023,2.960526316
3,3,1,97,14,3,4,3.7,3.714285714,4.810810811,5.045977011,5.078947368,13,2,4,3.2,2.154761905,1.558823529,1.642857143,2.346666667
12,1,1,100,9,2,2,3.1,5.857142857,6.428571429,6.843373494,7,13,2,3,4.2,5.178571429,4.324324324,6.277108434,6.293333333
18,1,1,93,8,2,3,3.9,5.795180723,6.516129032,6.78313253,6.797297297,11,2,3,2,5.535714286,6.085714286,6.597701149,6.657894737
3,1,1,100,11,2,3,2.9,5.523809524,5.388888889,6.548780488,6.693333333,14,4,4,4.3,4.416666667,5.657142857,6.252873563,6.857142857
27,2,1,80,13,2,4,2.5,5.361445783,4.638888889,5.73255814,6.106666667,13,3,5,4.1,2.831325301,4.081081081,3.850574713,3.539473684
13,1,1,97,11,2,3,3.8,5.86746988,6.838709677,6.843373494,6.863013699,15,2,4,2.1,5.614457831,5.171428571,6.081395349,5.819444444
16,2,1,100,9,2,2,3.6,5.506024096,6.361111111,6.746987952,6.786666667,14,2,5,2.5,5.337349398,5.459459459,6.571428571,6.333333333
11,2,1,93,15,3,5,2.8,5.879518072,5.8,6.313953488,6.621621622,13,3,4,3.5,4.178571429,4.297297297,5.344827586,5.653333333
19,3,1,97,15,2,5,3.1,3.69047619,2.405405405,3.195402299,4.263157895,14,3,5,2.9,3.583333333,2.324324324,2.850574713,3.631578947
13,3,1,100,10,3,4,4,4.148148148,3.513513514,4.494252874,3.657894737,14,2,4,3.3,2.43373494,2.027027027,1.797619048,2.815789474
20,1,1,97,13,2,5,2.9,3.547619048,4.621621622,5.137931034,5.666666667,12,2,3,2.9,4.916666667,4,6.261904762,5.906666667
4,3,1,97,13,2,3,2.9,1.710843373,2.108108108,2.287356322,3.144736842,14,2,4,2.3,3.202380952,1.129032258,2.022988506,2.813333333
27,3,1,97,11,2,4,3.9,2.831325301,4.081081081,3.850574713,3.539473684,14,2,4,2.9,3.095238095,1.972222222,2.2,2.855263158
23,2,1,100,12,3,4,3.7,3.060240964,4.513513514,5,5.368421053,11,2,3,3.6,2.879518072,2.675675676,3.367816092,4.486842105
2,2,1,93,12,2,3,3.8,5.547619048,5.941176471,6.083333333,6.581081081,16,2,6,3.3,2.952380952,2.416666667,2.406976744,4.039473684
1,3,1,100,13,3,5,3.8,3.642857143,3.972972973,4.781609195,4.578947368,13,3,4,3.6,2.951807229,2.621621622,3.206896552,3.473684211
26,2,1,100,10,2,3,4.1,5,3.918918919,5.476744186,6.136986301,13,3,4,3.5,4.476190476,3.297297297,5.694117647,5.92
25,3,1,97,10,3,4,4.2,4.369047619,4.162162162,5.034482759,5.25,12,2,4,3.1,2.214285714,2.081081081,1.83908046,3.026315789
8,3,1,86.6667,11,3,5,4,1.397590361,3.054054054,1.895348837,2.333333333,13,2,4,3,1.524390244,2.416666667,1.464285714,2.907894737
10,2,1,100,9,2,2,3.3,5.341463415,4.567567568,4.586206897,3.881578947,13,2,5,2.7,4.25,2.864864865,2.873563218,2.302631579
16,1,1,93,10,3,3,3.3,6.071428571,6.441176471,6.738095238,6.671052632,9,2,2,3.6,5.506024096,6.361111111,6.746987952,6.786666667
5,2,1,100,11,2,2,2.6,6.204819277,5.472222222,6.670588235,6.666666667,12,2,3,3,6.047619048,3.945945946,5.448275862,4.684210526
6,2,1,97,9,3,3,4.2,3.578313253,4.540540541,5.952941176,6.310810811,9,2,3,3.6,1.952380952,2.621621622,2.73255814,3.315789474
3,2,1,100,14,4,4,4.3,4.416666667,5.657142857,6.252873563,6.857142857,14,3,4,3.7,3.714285714,4.810810811,5.045977011,5.078947368
26,3,1,97,13,3,4,3.5,4.476190476,3.297297297,5.694117647,5.92,12,3,5,3,3.607142857,1.8,2.620689655,2.921052632
9,3,1,100,7,2,2,4.2,3.630952381,2.135135135,4.287356322,5.157894737,14,2,6,3.1,2.547619048,1.161290323,2.348837209,3.25
12,2,1,100,13,2,3,4.2,5.178571429,4.324324324,6.277108434,6.293333333,13,2,5,2.5,5.05952381,4.135135135,4.195402299,4.921052632
17,1,1,83.3333,11,3,4,3.7,5.964285714,6.111111111,6.627906977,7,15,2,4,2.6,5.512195122,4.405405405,6.32183908,6.464788732
15,2,1,93,12,3,5,2.5,5.166666667,6.166666667,6.352941176,6.666666667,12,3,4,2.9,3.619047619,5.416666667,6.034883721,6.315068493
4,1,1,97,13,3,6,3.6,6.036144578,6.28125,6.814814815,6.884057971,12,2,4,3.3,2.5,4.297297297,5.252873563,6.013513514
9,2,1,97,13,3,4,3.4,4,4.675675676,6.134146341,6.375,7,2,2,4.2,3.630952381,2.135135135,4.287356322,5.157894737
14,2,1,90,18,3,6,3.1,3.178571429,4.081081081,4.551724138,5.144736842,16,2,5,3.6,1.892857143,2.567567568,2.209302326,3.106666667
6,3,1,93,9,2,3,3.6,1.952380952,2.621621622,2.73255814,3.315789474,11,2,4,2.4,2.097560976,2.028571429,1.802325581,2.184210526
8,1,1,100,12,3,5,3.2,5.602409639,5.970588235,6.6,6.594594595,12,3,4,4.4,4.904761905,5.243243243,6.068965517,6.64
20,3,1,90,11,2,3,3.4,5.109756098,3.27027027,5.436781609,5.052631579,11,3,4,4.3,4,2.72972973,3.942528736,4.25
14,1,1,100,10,3,3,3.8,6.083333333,6.657142857,6.642857143,6.88,18,3,6,3.1,3.178571429,4.081081081,4.551724138,5.144736842
4,2,1,97,12,2,4,3.3,2.5,4.297297297,5.252873563,6.013513514,13,2,3,2.9,1.710843373,2.108108108,2.287356322,3.144736842
17,3,1,100,10,2,3,3,4.095238095,2.837837838,3.091954023,2.960526316,8,2,2,3.9,3.178571429,2.189189189,1.987804878,3.315789474
12,3,2,90,13,2,5,2.5,5.05952381,4.135135135,4.195402299,4.921052632,13,3,6,3.6,3.719512195,2.054054054,3.298850575,3.315789474
18,3,2,94,9,2,3,4.2,2.543209877,4.162162162,3.931034483,3.736842105,6,2,2,4.2,5.416666667,3.216216216,4.448275862,4.394736842
24,3,1,100,10,2,3,3.4,2.385542169,2.351351351,2.325581395,3.421052632,13,2,4,3.1,1.869047619,1.972972973,2.16091954,2.894736842
2,3,1,87,16,2,6,3.3,2.952380952,2.416666667,2.406976744,4.039473684,9,2,2,3.1,3.083333333,2.027027027,2.058823529,3.223684211
